district,district_id,year,year_type,cyclone_exposure,cyclone_year_event,pipeline,metric,median_doy,p25_doy,p75_doy,boot_p025,boot_p975,n_pixels,v21_f,v21_delta_cyc,v21_correction_days,v21_share_source
Angul,ang,2017,control,inland_control,,raw,SOS,288.0,283.28,292.72,286.63,289.37,10605746,,,,
Angul,ang,2017,control,inland_control,,corrected,SOS,288.0,283.28,292.72,286.63,289.37,10605746,0.0,0.0,0.0,none
Angul,ang,2017,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,10605746,,,,
Angul,ang,2017,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,10605746,0.0,0.0,0.0,none
Angul,ang,2017,control,inland_control,,raw,EOS,,,,,,10605746,,,,
Angul,ang,2017,control,inland_control,,corrected,EOS,,,,,,10605746,0.0,0.0,0.0,none
Angul,ang,2018,control,inland_control,,raw,SOS,258.0,246.32,269.68,251.88,264.12,30770,,,,
Angul,ang,2018,control,inland_control,,corrected,SOS,258.0,246.32,269.68,251.88,264.12,30770,0.0,0.0,0.0,none
Angul,ang,2018,control,inland_control,,raw,POS,258.0,246.32,269.68,251.88,264.12,30770,,,,
Angul,ang,2018,control,inland_control,,corrected,POS,258.0,246.32,269.68,251.88,264.12,30770,0.0,0.0,0.0,none
Angul,ang,2018,control,inland_control,,raw,EOS,349.0,344.28,353.72,346.53,351.47,30770,,,,
Angul,ang,2018,control,inland_control,,corrected,EOS,349.0,344.28,353.72,346.53,351.47,30770,0.0,0.0,0.0,none
Angul,ang,2019,control,inland_control,,raw,SOS,196.0,191.28,200.72,194.63,197.37,13458229,,,,
Angul,ang,2019,control,inland_control,,corrected,SOS,196.0,191.28,200.72,194.63,197.37,13458229,0.0,0.0,0.0,EMSR357_real
Angul,ang,2019,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,13458229,,,,
Angul,ang,2019,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,13458229,0.0,0.0,0.0,EMSR357_real
Angul,ang,2019,control,inland_control,,raw,EOS,,,,,,13458229,,,,
Angul,ang,2019,control,inland_control,,corrected,EOS,,,,,,13458229,0.0,0.0,0.0,EMSR357_real
Angul,ang,2020,control,inland_control,,raw,SOS,167.0,154.93,179.07,163.49,170.51,13450715,,,,
Angul,ang,2020,control,inland_control,,corrected,SOS,167.0,154.93,179.07,163.49,170.51,13450715,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Angul,ang,2020,control,inland_control,,raw,POS,289.0,284.28,293.72,287.63,290.37,13450715,,,,
Angul,ang,2020,control,inland_control,,corrected,POS,289.0,284.28,293.72,287.63,290.37,13450715,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Angul,ang,2020,control,inland_control,,raw,EOS,350.0,345.28,354.72,348.63,351.37,13450715,,,,
Angul,ang,2020,control,inland_control,,corrected,EOS,350.0,345.28,354.72,348.63,351.37,13450715,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Angul,ang,2021,control,inland_control,,raw,SOS,166.0,161.28,170.72,164.63,167.37,13430526,,,,
Angul,ang,2021,control,inland_control,,corrected,SOS,166.0,161.28,170.72,164.63,167.37,13430526,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Angul,ang,2021,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,13430526,,,,
Angul,ang,2021,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,13430526,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Angul,ang,2021,control,inland_control,,raw,EOS,349.0,344.28,353.72,347.63,350.37,13430526,,,,
Angul,ang,2021,control,inland_control,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,13430526,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Angul,ang,2022,control,inland_control,,raw,SOS,166.0,154.32,177.68,162.61,169.39,13424451,,,,
Angul,ang,2022,control,inland_control,,corrected,SOS,166.0,154.32,177.68,162.61,169.39,13424451,0.0,0.0,0.0,none
Angul,ang,2022,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,13424451,,,,
Angul,ang,2022,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,13424451,0.0,0.0,0.0,none
Angul,ang,2022,control,inland_control,,raw,EOS,349.0,344.28,353.72,347.63,350.37,13424451,,,,
Angul,ang,2022,control,inland_control,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,13424451,0.0,0.0,0.0,none
Angul,ang,2023,control,inland_control,,raw,SOS,196.0,191.28,200.72,194.63,197.37,13488193,,,,
Angul,ang,2023,control,inland_control,,corrected,SOS,196.0,191.28,200.72,194.63,197.37,13488193,0.0,0.0,0.0,none
Angul,ang,2023,control,inland_control,,raw,POS,288.0,276.32,299.68,284.61,291.39,13488193,,,,
Angul,ang,2023,control,inland_control,,corrected,POS,288.0,276.32,299.68,284.61,291.39,13488193,0.0,0.0,0.0,none
Angul,ang,2023,control,inland_control,,raw,EOS,349.0,344.28,353.72,347.63,350.37,13488193,,,,
Angul,ang,2023,control,inland_control,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,13488193,0.0,0.0,0.0,none
Angul,ang,2024,control,inland_control,,raw,SOS,197.0,192.28,201.72,195.63,198.37,13198873,,,,
Angul,ang,2024,control,inland_control,,corrected,SOS,197.0,192.28,201.72,195.63,198.37,13198873,0.0,0.0,0.0,none
Angul,ang,2024,control,inland_control,,raw,POS,289.0,284.28,293.72,287.63,290.37,13198873,,,,
Angul,ang,2024,control,inland_control,,corrected,POS,289.0,284.28,293.72,287.63,290.37,13198873,0.0,0.0,0.0,none
Angul,ang,2024,control,inland_control,,raw,EOS,350.0,345.28,354.72,348.63,351.37,13198873,,,,
Angul,ang,2024,control,inland_control,,corrected,EOS,350.0,345.28,354.72,348.63,351.37,13198873,0.0,0.0,0.0,none
Baleshwar,bls,2017,control,coastal_treatment,,raw,SOS,288.0,276.55,299.45,284.67,291.33,6830172,,,,
Baleshwar,bls,2017,control,coastal_treatment,,corrected,SOS,288.0,276.55,299.45,284.67,291.33,6830172,0.0,0.0,0.0,none
Baleshwar,bls,2017,control,coastal_treatment,,raw,POS,288.0,276.55,299.45,284.67,291.33,6830172,,,,
