district,district_code,year,treatment,n_cells,n_ok,fit_fail_rate,sos_median,sos_p25,sos_p75,sos_mean,sos_std,pos_median,pos_p25,pos_p75,pos_mean,pos_std,eos_median,eos_p25,eos_p75,eos_mean,eos_std,cyclone_year_event,cyclone_exposure,event_time
Angul,ANG,2019,0,107,77,0.2804,198.0,188.0,214.0,198.12987012987014,19.056944202870852,275.0,271.0,279.0,275.02597402597405,6.563403373359109,350.0,341.0,355.0,348.97402597402595,13.713203420497635,none,0,
Angul,ANG,2020,0,107,49,0.5421,178.0,169.0,189.0,177.69387755102042,14.20417204209244,281.0,277.0,285.0,281.61224489795916,8.44298605976832,330.0,325.0,333.0,330.9387755102041,7.8432778098650235,none,0,
Angul,ANG,2021,0,107,16,0.8505,168.0,160.25,178.0,171.6875,15.247814050982303,256.0,253.75,266.0,259.6875,9.93793238053067,353.5,342.0,362.0,352.3125,13.9748285618584,none,0,
Angul,ANG,2022,0,107,18,0.8318,178.0,175.0,203.5,185.5,16.915881851784416,274.5,269.25,281.25,274.1666666666667,8.766580928530267,354.0,336.75,362.0,351.8888888888889,15.635137234443109,none,0,
Angul,ANG,2023,0,107,5,0.9533,223.0,172.0,226.0,203.6,30.286960890785988,266.0,263.0,273.0,267.2,8.5848704125339,347.0,331.0,362.0,348.0,18.547236990991408,none,0,
Angul,ANG,2024,0,107,43,0.5981,214.0,194.0,224.0,206.09302325581396,25.636482517701186,281.0,270.5,284.5,276.72093023255815,12.261681663185614,332.0,328.0,338.0,334.6279069767442,11.692535787159166,none,0,
Baleshwar,BLS,2019,1,70,23,0.6714,212.0,193.0,239.5,211.91304347826087,28.493879794979676,288.0,281.0,291.5,286.60869565217394,8.222691057150564,322.0,318.0,325.5,325.04347826086956,11.4275514790494,Fani,1,0.0
Baleshwar,BLS,2020,1,70,42,0.4,188.0,176.25,211.5,194.28571428571428,25.4714433255579,287.0,284.0,290.75,287.23809523809524,5.20229557120899,320.0,317.0,322.75,320.07142857142856,4.413907384303905,Amphan,1,1.0
Baleshwar,BLS,2021,1,70,34,0.5143,184.0,170.25,208.5,189.94117647058823,26.039528432715855,270.5,266.5,285.0,274.88235294117646,11.294312609725447,334.5,320.25,348.0,335.11764705882354,15.042897661470544,Yaas,1,2.0
Baleshwar,BLS,2022,1,70,36,0.4857,236.5,204.0,245.25,226.58333333333334,24.724048443338955,287.5,284.5,290.0,287.30555555555554,4.012974987956971,323.0,319.0,335.75,330.02777777777777,15.249329935838606,none,0,3.0
Baleshwar,BLS,2023,1,70,54,0.2286,224.0,206.0,239.75,218.92592592592592,25.071860383480704,289.0,284.0,292.0,287.22222222222223,7.350180761906771,320.0,317.0,324.75,322.8333333333333,9.797477534433842,none,0,4.0
Baleshwar,BLS,2024,1,70,18,0.7429,177.5,164.0,218.5,191.22222222222223,32.855397184983275,279.0,275.25,291.0,281.3888888888889,13.244927503582772,347.0,328.5,353.75,342.6666666666667,14.620694439128155,none,0,5.0
Bhadrak,BHA,2019,1,46,14,0.6957,220.0,204.0,236.75,216.0,25.528264878215044,290.0,286.5,294.0,290.5,8.644696017256432,327.0,322.0,347.25,333.92857142857144,15.504164630160533,Fani,1,0.0
Bhadrak,BHA,2020,1,46,16,0.6522,214.0,184.75,228.75,207.9375,27.416464031672646,293.0,285.0,298.0,291.9375,7.628619359578333,326.5,322.75,351.25,336.0,17.158088471621774,Amphan,1,1.0
Bhadrak,BHA,2021,1,46,21,0.5435,174.0,171.0,182.0,182.0,25.897876360813836,269.0,267.0,285.0,275.3333333333333,13.085615512207797,362.0,349.0,367.0,356.3809523809524,16.93362391951643,Yaas,1,2.0
Bhadrak,BHA,2022,1,46,13,0.7174,234.0,208.0,244.0,227.23076923076923,19.22738431748603,288.0,285.0,292.0,288.0,5.131601439446884,351.0,341.0,367.0,353.0,22.59793500890439,none,0,3.0
Bhadrak,BHA,2023,1,46,28,0.3913,241.0,212.0,246.5,224.5,31.30554323178304,287.0,282.5,290.25,286.75,5.83492041901998,324.5,319.5,334.5,328.92857142857144,12.37957867837061,none,0,4.0
Bhadrak,BHA,2024,1,46,11,0.7609,232.0,184.0,240.5,211.45454545454547,34.763094328220085,292.0,285.5,295.5,290.3636363636364,7.990903919741837,329.0,324.0,353.0,337.8181818181818,17.926618096106036,none,0,5.0
Cuttack,CTK,2019,0,82,57,0.3049,203.0,182.0,213.0,198.3859649122807,18.506518529160893,278.0,270.0,289.0,277.70175438596493,12.872957413953237,338.0,332.0,348.0,340.5964912280702,12.068050572131723,none,0,
Cuttack,CTK,2020,0,82,52,0.3659,190.5,175.75,212.5,193.30769230769232,24.179507172793148,298.0,288.5,302.25,293.5,12.803951595917107,331.5,328.0,335.0,334.4423076923077,9.951674332549079,none,0,
Cuttack,CTK,2021,0,82,22,0.7317,172.0,165.75,180.75,177.22727272727272,17.405340773621397,279.5,274.25,281.75,277.45454545454544,9.027615161150562,361.5,356.5,363.0,357.27272727272725,12.275340430472088,none,0,
