pipeline,metric,event_k,beta,se,ci_lo_95,ci_hi_95,n_obs
raw,SOS,-2,63.6,48.006,-30.491,157.691,64
raw,SOS,-1,0.0,0.0,0.0,0.0,64
raw,SOS,0,76.0,56.676,-35.085,187.085,64
raw,SOS,1,96.267,61.923,-25.103,217.636,64
raw,SOS,2,57.2,50.277,-41.343,155.743,64
raw,SOS,3,133.2,45.72,43.59,222.81,64
raw,SOS,4,76.0,51.777,-25.482,177.482,64
raw,SOS,5,33.2,47.907,-60.698,127.098,64
raw,POS,-2,2.4,14.074,-25.185,29.985,64
raw,POS,-1,0.0,0.0,0.0,0.0,64
raw,POS,0,2.4,14.074,-25.185,29.985,64
raw,POS,1,-10.0,10.82,-31.207,11.207,64
raw,POS,2,-10.0,10.82,-31.207,11.207,64
raw,POS,3,-10.0,10.82,-31.207,11.207,64
raw,POS,4,0.0,18.741,-36.732,36.732,64
raw,POS,5,-3.8,13.08,-29.436,21.836,64
raw,EOS,-2,33.548,0.0,33.548,33.548,44
raw,EOS,-1,0.0,0.0,0.0,0.0,44
raw,EOS,0,-0.0,0.0,-0.0,0.0,44
raw,EOS,1,0.0,0.0,-0.0,0.0,44
raw,EOS,2,0.0,0.0,-0.0,0.0,44
raw,EOS,3,-0.0,0.0,-0.0,0.0,44
raw,EOS,4,-0.0,0.0,-0.0,0.0,44
raw,EOS,5,-0.0,0.0,-0.0,0.0,44
corrected,SOS,-2,63.6,48.006,-30.491,157.691,64
corrected,SOS,-1,0.0,0.0,0.0,0.0,64
corrected,SOS,0,76.0,56.676,-35.085,187.085,64
corrected,SOS,1,96.267,61.923,-25.103,217.636,64
corrected,SOS,2,57.2,50.277,-41.343,155.743,64
corrected,SOS,3,133.2,45.72,43.59,222.81,64
corrected,SOS,4,76.0,51.777,-25.482,177.482,64
corrected,SOS,5,33.2,47.907,-60.698,127.098,64
corrected,POS,-2,2.4,14.074,-25.185,29.985,64
corrected,POS,-1,0.0,0.0,0.0,0.0,64
corrected,POS,0,2.4,14.074,-25.185,29.985,64
corrected,POS,1,-10.0,10.82,-31.207,11.207,64
corrected,POS,2,-10.0,10.82,-31.207,11.207,64
corrected,POS,3,-10.0,10.82,-31.207,11.207,64
corrected,POS,4,0.0,18.741,-36.732,36.732,64
corrected,POS,5,-3.8,13.08,-29.436,21.836,64
corrected,EOS,-2,33.548,0.0,33.548,33.548,44
corrected,EOS,-1,0.0,0.0,0.0,0.0,44
corrected,EOS,0,-0.0,0.0,-0.0,0.0,44
corrected,EOS,1,0.0,0.0,-0.0,0.0,44
corrected,EOS,2,0.0,0.0,-0.0,0.0,44
corrected,EOS,3,-0.0,0.0,-0.0,0.0,44
corrected,EOS,4,-0.0,0.0,-0.0,0.0,44
corrected,EOS,5,-0.0,0.0,-0.0,0.0,44
