pipeline,metric,dropped_district,exposure,tau_loo,se_loo,p_loo,ci_lo,ci_hi,delta_pct,note
raw,SOS,Angul,inland_control,21.733,16.548,0.1891,-10.701,54.167,42.2,ok
raw,SOS,Baleshwar,coastal_treatment,10.256,20.342,0.6141,-29.613,50.124,-32.9,ok
raw,SOS,Bhadrak,coastal_treatment,3.656,14.092,0.7953,-23.964,31.275,-76.1,ok
raw,SOS,Cuttack,inland_control,10.567,17.86,0.5541,-24.439,45.572,-30.9,ok
raw,SOS,Dhenkanal,inland_control,13.567,19.089,0.4773,-23.846,50.98,-11.3,ok
raw,SOS,Jagatsinghpur,coastal_treatment,17.906,21.212,0.3986,-23.669,59.48,17.1,ok
raw,SOS,Kendrapara,coastal_treatment,22.039,19.344,0.2546,-15.875,59.953,44.1,ok
raw,SOS,Puri,coastal_treatment,22.589,18.95,0.2332,-14.552,59.729,47.7,ok
raw,POS,Angul,inland_control,-2.587,3.396,0.4463,-9.243,4.07,27.9,ok
raw,POS,Baleshwar,coastal_treatment,-3.483,3.342,0.2973,-10.034,3.068,2.9,ok
raw,POS,Bhadrak,coastal_treatment,-1.933,2.418,0.4239,-6.672,2.805,46.1,ok
raw,POS,Cuttack,inland_control,-5.587,2.119,0.0084,-9.741,-1.433,-55.8,ok
raw,POS,Dhenkanal,inland_control,-2.587,3.396,0.4463,-9.243,4.07,27.9,ok
raw,POS,Jagatsinghpur,coastal_treatment,-4.517,3.082,0.1428,-10.558,1.524,-25.9,ok
raw,POS,Kendrapara,coastal_treatment,-4.517,3.082,0.1428,-10.558,1.524,-25.9,ok
raw,POS,Puri,coastal_treatment,-3.483,3.342,0.2973,-10.034,3.068,2.9,ok
raw,EOS,Angul,inland_control,-0.0,0.0,0.1978,-0.0,0.0,,ok
raw,EOS,Baleshwar,coastal_treatment,-0.0,0.0,0.1484,-0.0,0.0,,ok
raw,EOS,Bhadrak,coastal_treatment,-0.0,0.0,0.1484,-0.0,0.0,,ok
raw,EOS,Cuttack,inland_control,0.0,0.0,0.0691,-0.0,0.0,,ok
raw,EOS,Dhenkanal,inland_control,-0.0,0.0,0.8223,-0.0,0.0,,ok
raw,EOS,Jagatsinghpur,coastal_treatment,0.0,0.0,0.1411,-0.0,0.0,,ok
raw,EOS,Kendrapara,coastal_treatment,-0.0,0.0,0.3956,-0.0,0.0,,ok
raw,EOS,Puri,coastal_treatment,0.0,0.0,1.0,-0.0,0.0,,ok
corrected,SOS,Angul,inland_control,21.733,16.548,0.1891,-10.701,54.167,42.2,ok
corrected,SOS,Baleshwar,coastal_treatment,10.256,20.342,0.6141,-29.613,50.124,-32.9,ok
corrected,SOS,Bhadrak,coastal_treatment,3.656,14.092,0.7953,-23.964,31.275,-76.1,ok
corrected,SOS,Cuttack,inland_control,10.567,17.86,0.5541,-24.439,45.572,-30.9,ok
corrected,SOS,Dhenkanal,inland_control,13.567,19.089,0.4773,-23.846,50.98,-11.3,ok
corrected,SOS,Jagatsinghpur,coastal_treatment,17.906,21.212,0.3986,-23.669,59.48,17.1,ok
corrected,SOS,Kendrapara,coastal_treatment,22.039,19.344,0.2546,-15.875,59.953,44.1,ok
corrected,SOS,Puri,coastal_treatment,22.589,18.95,0.2332,-14.552,59.729,47.7,ok
corrected,POS,Angul,inland_control,-2.587,3.396,0.4463,-9.243,4.07,27.9,ok
corrected,POS,Baleshwar,coastal_treatment,-3.483,3.342,0.2973,-10.034,3.068,2.9,ok
corrected,POS,Bhadrak,coastal_treatment,-1.933,2.418,0.4239,-6.672,2.805,46.1,ok
corrected,POS,Cuttack,inland_control,-5.587,2.119,0.0084,-9.741,-1.433,-55.8,ok
corrected,POS,Dhenkanal,inland_control,-2.587,3.396,0.4463,-9.243,4.07,27.9,ok
corrected,POS,Jagatsinghpur,coastal_treatment,-4.517,3.082,0.1428,-10.558,1.524,-25.9,ok
corrected,POS,Kendrapara,coastal_treatment,-4.517,3.082,0.1428,-10.558,1.524,-25.9,ok
corrected,POS,Puri,coastal_treatment,-3.483,3.342,0.2973,-10.034,3.068,2.9,ok
corrected,EOS,Angul,inland_control,-0.0,0.0,0.1978,-0.0,0.0,,ok
corrected,EOS,Baleshwar,coastal_treatment,-0.0,0.0,0.1484,-0.0,0.0,,ok
corrected,EOS,Bhadrak,coastal_treatment,-0.0,0.0,0.1484,-0.0,0.0,,ok
corrected,EOS,Cuttack,inland_control,0.0,0.0,0.0691,-0.0,0.0,,ok
corrected,EOS,Dhenkanal,inland_control,-0.0,0.0,0.8223,-0.0,0.0,,ok
corrected,EOS,Jagatsinghpur,coastal_treatment,0.0,0.0,0.1411,-0.0,0.0,,ok
corrected,EOS,Kendrapara,coastal_treatment,-0.0,0.0,0.3956,-0.0,0.0,,ok
corrected,EOS,Puri,coastal_treatment,0.0,0.0,1.0,-0.0,0.0,,ok
