district,exposure,year,n_scenes_total,n_clear_months,sos_dl,sos_thr,sos_used
Boudh,inland_rainfall,2017,60,8,183.4,169.6,183.4
Boudh,inland_rainfall,2018,120,7,155.5,144.6,155.5
Boudh,inland_rainfall,2020,120,8,,176.4,176.4
Ganjam,coastal_rainfall,2017,30,7,162.6,145.5,162.6
Ganjam,coastal_rainfall,2018,56,8,206.1,136.7,206.1
Ganjam,coastal_rainfall,2020,72,9,198.3,179.6,198.3
Kandhamal,inland_rainfall,2017,45,8,,160.8,160.8
Kandhamal,inland_rainfall,2018,89,6,141.1,131.8,141.1
Kandhamal,inland_rainfall,2020,108,7,,206.4,206.4
Khordha,coastal_rainfall,2017,15,8,165.9,153.1,165.9
Khordha,coastal_rainfall,2018,32,7,117.5,126.5,117.5
Khordha,coastal_rainfall,2020,39,9,179.3,166.8,179.3
Mayurbhanj,coastal_rainfall,2017,28,8,,131.5,131.5
Mayurbhanj,coastal_rainfall,2018,69,8,,121.5,121.5
Mayurbhanj,coastal_rainfall,2020,64,9,,121.0,121.0
Nayagarh,inland_rainfall,2017,45,8,165.4,152.4,165.4
Nayagarh,inland_rainfall,2018,92,6,128.6,115.7,128.6
Nayagarh,inland_rainfall,2020,110,8,,175.1,175.1
