pipeline,metric,treated,is_real,tau_hat_d,se_d
raw,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Dhenkanal,False,26.3822,13.5817
raw,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Jagatsinghpur,False,30.7911,12.2786
raw,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Kendrapara,False,21.9733,14.1428
raw,SOS,Angul|Baleshwar|Bhadrak|Cuttack|Puri,False,20.8,14.1811
raw,SOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur,False,33.9911,11.3515
raw,SOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Kendrapara,False,25.1733,13.7231
raw,SOS,Angul|Baleshwar|Bhadrak|Dhenkanal|Puri,False,24.0,13.8118
raw,SOS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara,False,29.5822,12.5121
raw,SOS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Puri,False,28.4089,12.6834
raw,SOS,Angul|Baleshwar|Bhadrak|Kendrapara|Puri,False,19.5911,14.231
raw,SOS,Angul|Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur,False,-4.0178,22.9713
raw,SOS,Angul|Baleshwar|Cuttack|Dhenkanal|Kendrapara,False,-12.8356,21.5837
raw,SOS,Angul|Baleshwar|Cuttack|Dhenkanal|Puri,False,-14.0089,21.264
raw,SOS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Kendrapara,False,-8.4267,22.2426
raw,SOS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Puri,False,-9.6,21.9751
raw,SOS,Angul|Baleshwar|Cuttack|Kendrapara|Puri,False,-18.4178,20.0815
raw,SOS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara,False,-5.2267,22.7649
raw,SOS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Puri,False,-6.4,22.5339
raw,SOS,Angul|Baleshwar|Dhenkanal|Kendrapara|Puri,False,-15.2178,20.9367
raw,SOS,Angul|Baleshwar|Jagatsinghpur|Kendrapara|Puri,False,-10.8089,21.7031
raw,SOS,Angul|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,10.0622,18.5646
raw,SOS,Angul|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,1.2444,18.1039
raw,SOS,Angul|Bhadrak|Cuttack|Dhenkanal|Puri,False,0.0711,17.8894
