district,dekad_of_year,doy_centre,date_centre,n_scenes,vh_db_mean,vv_db_mean,cr_lin_mean
Boudh,12,125,2019-05-05,3,-14.820449829101562,-8.49893569946289,0.23951537907123566
Boudh,13,135,2019-05-15,1,-15.292204856872559,-8.976898193359375,0.24043920636177063
Boudh,14,145,2019-05-25,1,-15.430672645568848,-9.010889053344727,0.23562921583652496
Boudh,16,165,2019-06-14,2,-13.939630508422852,-7.380839824676514,0.22841913998126984
Boudh,17,175,2019-06-24,1,-14.216388702392578,-7.851234436035156,0.23760035634040833
Boudh,18,185,2019-07-04,2,-13.557816505432129,-6.9145426750183105,0.2239052802324295
Boudh,19,195,2019-07-14,1,-14.37292194366455,-7.5737152099609375,0.2166750729084015
Boudh,20,205,2019-07-24,2,-13.737948417663574,-7.177483081817627,0.22798286378383636
Boudh,21,215,2019-08-03,2,-13.750194549560547,-7.077554702758789,0.22177183628082275
Boudh,22,225,2019-08-13,2,-13.510242462158203,-6.879604339599609,0.22424034774303436
Boudh,23,235,2019-08-23,2,-14.059605598449707,-7.16402530670166,0.21201752126216888
Boudh,24,245,2019-09-02,2,-13.551251411437988,-6.758179187774658,0.2177974432706833
Boudh,25,255,2019-09-12,1,-13.725292205810547,-6.976809024810791,0.2188558727502823
Boudh,26,265,2019-09-22,2,-13.819339752197266,-6.877752304077148,0.20985551178455353
Boudh,27,275,2019-10-02,4,-13.50505542755127,-6.713604927062988,0.21666699647903442
Boudh,28,285,2019-10-12,3,-13.735074996948242,-6.987298011779785,0.21893641352653503
Boudh,29,295,2019-10-22,3,-13.688712120056152,-7.110353946685791,0.22755518555641174
Boudh,30,305,2019-11-01,4,-13.55908203125,-7.062142372131348,0.2328106015920639
Boudh,31,315,2019-11-11,3,-13.823975563049316,-7.399093151092529,0.23721513152122498
Boudh,32,325,2019-11-21,3,-13.929088592529297,-7.644650936126709,0.2452566772699356
Boudh,33,335,2019-12-01,4,-14.162161827087402,-7.757968425750732,0.2385023981332779
Boudh,34,345,2019-12-11,2,-14.476958274841309,-7.9356489181518555,0.23039013147354126
