district,dekad_of_year,doy_centre,date_centre,n_scenes,vh_db_mean,vv_db_mean,cr_lin_mean
Ganjam,12,125,2019-05-05,3,-14.134099006652832,-7.70306921005249,0.23509134352207184
Ganjam,13,135,2019-05-15,1,-13.193000793457031,-6.608720779418945,0.22710742056369781
Ganjam,14,145,2019-05-25,1,-13.55709457397461,-7.080293655395508,0.23305849730968475
Ganjam,16,165,2019-06-14,2,-14.506524085998535,-8.149304389953613,0.23910871148109436
Ganjam,17,175,2019-06-24,1,-14.230490684509277,-7.833497524261475,0.23616568744182587
Ganjam,18,185,2019-07-04,2,-13.398988723754883,-6.920851707458496,0.23286829888820648
Ganjam,19,195,2019-07-14,1,-13.21239185333252,-6.396079063415527,0.21431203186511993
Ganjam,20,205,2019-07-24,2,-12.997299194335938,-6.643188953399658,0.23920437693595886
Ganjam,21,215,2019-08-03,2,-13.956657409667969,-7.4137139320373535,0.2297864556312561
Ganjam,22,225,2019-08-13,2,-13.754842758178711,-7.057341575622559,0.22291839122772217
Ganjam,23,235,2019-08-23,2,-14.25699234008789,-7.206768035888672,0.206539124250412
Ganjam,24,245,2019-09-02,2,-13.888946533203125,-6.837901592254639,0.2101658582687378
Ganjam,25,255,2019-09-12,1,-12.981913566589355,-6.070600509643555,0.20980678498744965
Ganjam,26,265,2019-09-22,2,-13.475788116455078,-6.564800262451172,0.2123752385377884
Ganjam,27,275,2019-10-02,4,-13.522478103637695,-6.675692558288574,0.2145761400461197
Ganjam,28,285,2019-10-12,3,-13.267446517944336,-6.715717792510986,0.22839860618114471
Ganjam,29,295,2019-10-22,3,-13.136541366577148,-6.633894443511963,0.2325415015220642
Ganjam,30,305,2019-11-01,4,-13.359219551086426,-7.225597381591797,0.2527300715446472
Ganjam,31,315,2019-11-11,3,-13.627237319946289,-7.687341213226318,0.2645857036113739
Ganjam,32,325,2019-11-21,3,-13.73122787475586,-7.740029811859131,0.26132601499557495
Ganjam,33,335,2019-12-01,4,-13.904830932617188,-7.739360809326172,0.25010058283805847
Ganjam,34,345,2019-12-11,2,-14.072710037231445,-7.748073101043701,0.23961696028709412
