district,dekad_of_year,doy_centre,date_centre,n_scenes,vh_db_mean,vv_db_mean,cr_lin_mean
Khordha,12,125,2019-05-05,5,-14.532285690307617,-7.940947532653809,0.23165225982666016
Khordha,13,135,2019-05-15,1,-14.870549201965332,-8.647404670715332,0.2494843304157257
Khordha,14,145,2019-05-25,2,-14.879483222961426,-8.818694114685059,0.2578405439853668
Khordha,15,155,2019-06-04,1,-15.898371696472168,-9.578152656555176,0.24072739481925964
Khordha,16,165,2019-06-14,3,-14.398231506347656,-7.3959760665893555,0.21393218636512756
Khordha,17,175,2019-06-24,3,-14.44770336151123,-7.4725213050842285,0.21275576949119568
Khordha,18,185,2019-07-04,3,-14.3563871383667,-7.399957656860352,0.2124963402748108
Khordha,19,195,2019-07-14,1,-13.656728744506836,-7.35258150100708,0.245186448097229
Khordha,20,205,2019-07-24,4,-13.965291976928711,-7.322693824768066,0.22791433334350586
Khordha,21,215,2019-08-03,3,-14.780364036560059,-7.81680965423584,0.21492387354373932
Khordha,22,225,2019-08-13,3,-14.549783706665039,-7.646402835845947,0.217548206448555
Khordha,23,235,2019-08-23,5,-14.76268196105957,-7.551418304443359,0.20398899912834167
Khordha,24,245,2019-09-02,4,-14.321832656860352,-7.171929836273193,0.20821237564086914
Khordha,25,255,2019-09-12,2,-14.185203552246094,-7.712346076965332,0.2368086576461792
Khordha,26,265,2019-09-22,4,-13.799592018127441,-6.854981422424316,0.21404173970222473
Khordha,27,275,2019-10-02,4,-14.058145523071289,-6.775875091552734,0.20045655965805054
Khordha,28,285,2019-10-12,3,-13.32884407043457,-6.599920749664307,0.2245996743440628
Khordha,29,295,2019-10-22,5,-13.023247718811035,-6.319033145904541,0.22613374888896942
Khordha,30,305,2019-11-01,5,-13.239725112915039,-6.872281551361084,0.2433769702911377
Khordha,31,315,2019-11-11,3,-13.457127571105957,-7.576274394989014,0.27238497138023376
Khordha,32,325,2019-11-21,5,-13.577913284301758,-7.677959442138672,0.2716924250125885
Khordha,33,335,2019-12-01,4,-13.864546775817871,-7.71664571762085,0.2561045289039612
Khordha,34,345,2019-12-11,3,-14.163352012634277,-7.8672966957092285,0.2457999885082245
