metric,year,period,coef,se,ci_lower,ci_upper,p_value,reference_year
SOS,2017,pre,63.6,47.431,-29.363,156.563,0.18,2018
SOS,2019,post,76.0,55.997,-33.752,185.752,0.1747,2018
SOS,2020,post,96.267,61.181,-23.647,216.18,0.1156,2018
SOS,2021,post,57.2,49.675,-40.161,154.561,0.2495,2018
SOS,2022,post,133.2,45.172,44.664,221.736,0.0032,2018
SOS,2023,post,76.0,51.157,-24.265,176.265,0.1374,2018
SOS,2024,post,33.2,47.334,-59.572,125.972,0.4831,2018
POS,2017,pre,2.4,13.905,-24.854,29.654,0.863,2018
POS,2019,post,2.4,13.905,-24.854,29.654,0.863,2018
POS,2020,post,-10.0,10.69,-30.953,10.953,0.3496,2018
POS,2021,post,-10.0,10.69,-30.953,10.953,0.3496,2018
POS,2022,post,-10.0,10.69,-30.953,10.953,0.3496,2018
POS,2023,post,0.0,18.516,-36.291,36.291,1.0,2018
POS,2024,post,-3.8,12.923,-29.129,21.529,0.7687,2018
EOS,2017,pre,,,,,,2018
EOS,2019,post,,,,,,2018
EOS,2020,post,,,,,,2018
EOS,2021,post,,,,,,2018
EOS,2022,post,,,,,,2018
EOS,2023,post,,,,,,2018
EOS,2024,post,,,,,,2018
