metric,year,period,coef,se,ci_lower,ci_upper,p_value,reference_year
SOS,2014,pre,32.467,22.77,-12.163,77.096,0.1539,2018
SOS,2015,pre,45.267,40.872,-34.841,125.374,0.2681,2018
SOS,2016,pre,10.467,31.467,-51.208,72.142,0.7394,2018
SOS,2017,pre,41.067,27.749,-13.32,95.453,0.1389,2018
SOS,2019,post,45.267,33.77,-20.922,111.455,0.1801,2018
SOS,2020,post,65.533,41.146,-15.11,146.177,0.1112,2018
SOS,2021,post,26.467,28.938,-30.252,83.185,0.3604,2018
SOS,2022,post,102.467,22.812,57.756,147.177,0.0,2018
SOS,2023,post,45.267,32.906,-19.228,109.761,0.1689,2018
SOS,2024,post,2.467,28.335,-53.069,58.002,0.9306,2018
POS,2014,pre,15.0,8.8,-2.248,32.248,0.0883,2018
POS,2015,pre,15.0,8.8,-2.248,32.248,0.0883,2018
POS,2016,pre,19.0,8.392,2.552,35.448,0.0236,2018
POS,2017,pre,6.2,4.226,-2.083,14.483,0.1424,2018
POS,2019,post,7.4,9.862,-11.929,26.729,0.453,2018
POS,2020,post,-5.0,5.081,-14.958,4.958,0.3251,2018
POS,2021,post,-5.0,5.081,-14.958,4.958,0.3251,2018
POS,2022,post,-5.0,5.081,-14.958,4.958,0.3251,2018
POS,2023,post,5.0,13.443,-21.347,31.347,0.7099,2018
POS,2024,post,1.2,8.57,-15.597,17.997,0.8886,2018
EOS,2014,pre,-0.0,0.0,-0.0,0.0,0.9096,2018
EOS,2015,pre,-0.0,0.0,-0.0,0.0,0.3093,2018
EOS,2016,pre,0.5,0.0,0.5,0.5,0.0,2018
EOS,2017,pre,-0.0,0.0,-0.0,0.0,0.6347,2018
EOS,2019,post,-0.0,0.0,-0.0,0.0,0.1637,2018
EOS,2020,post,-0.0,0.0,-0.0,0.0,0.3505,2018
EOS,2021,post,-0.0,0.0,-0.0,0.0,0.3002,2018
EOS,2022,post,-0.0,0.0,-0.0,0.0,0.1476,2018
EOS,2023,post,-0.0,0.0,-0.0,0.0,0.5977,2018
EOS,2024,post,-0.0,0.0,-0.0,0.0,0.2343,2018
