cell_id,district_id,district_name,year,treatment,event,metric,value_days,fit_quality,lon,lat
CTK_0000,CTK,Cuttack,2019,0,none,SOS,258,good,85.56332920559744,20.360687534066273
CTK_0000,CTK,Cuttack,2019,0,none,POS,288,good,85.56332920559744,20.360687534066273
CTK_0000,CTK,Cuttack,2019,0,none,EOS,349,good,85.56332920559744,20.360687534066273
CTK_0001,CTK,Cuttack,2019,0,none,SOS,135,good,85.36943060427792,20.39873165003268
CTK_0001,CTK,Cuttack,2019,0,none,POS,258,good,85.36943060427792,20.39873165003268
CTK_0001,CTK,Cuttack,2019,0,none,EOS,,good,85.36943060427792,20.39873165003268
CTK_0002,CTK,Cuttack,2019,0,none,SOS,196,good,86.13131118424388,20.383412298909377
CTK_0002,CTK,Cuttack,2019,0,none,POS,288,good,86.13131118424388,20.383412298909377
CTK_0002,CTK,Cuttack,2019,0,none,EOS,,good,86.13131118424388,20.383412298909377
CTK_0003,CTK,Cuttack,2019,0,none,SOS,258,good,85.3052146981203,20.40082906660347
CTK_0003,CTK,Cuttack,2019,0,none,POS,288,good,85.3052146981203,20.40082906660347
CTK_0003,CTK,Cuttack,2019,0,none,EOS,349,good,85.3052146981203,20.40082906660347
CTK_0004,CTK,Cuttack,2019,0,none,SOS,135,good,86.14416137180835,20.485576675361067
CTK_0004,CTK,Cuttack,2019,0,none,POS,288,good,86.14416137180835,20.485576675361067
CTK_0004,CTK,Cuttack,2019,0,none,EOS,349,good,86.14416137180835,20.485576675361067
CTK_0005,CTK,Cuttack,2019,0,none,SOS,258,good,85.2592920551194,20.39495658674582
CTK_0005,CTK,Cuttack,2019,0,none,POS,288,good,85.2592920551194,20.39495658674582
CTK_0005,CTK,Cuttack,2019,0,none,EOS,349,good,85.2592920551194,20.39495658674582
CTK_0006,CTK,Cuttack,2019,0,none,SOS,196,good,85.61559660915519,20.51469174848797
CTK_0006,CTK,Cuttack,2019,0,none,POS,258,good,85.61559660915519,20.51469174848797
