district,district_code,treatment,system:index,year,dekad_start,doy,NDVI_mean,NDVI_count,VH_mean,VH_count,VV_mean,VV_count,CR_mean,CR_count
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_965,235",2017,2017-05-01,121,,0,-19.783590866209497,687311,-12.431131382675602,687311,-7.352459483533929,687311
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_966,235",2017,2017-05-01,121,,0,-21.01429820599149,495156,-12.968895059463158,495156,-8.045403146528342,495156
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_964,236",2017,2017-05-01,121,,0,-20.120317836240456,756284,-12.478191859077015,756284,-7.642125977163422,756284
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_965,236",2017,2017-05-01,121,,0,-21.103727033664487,669451,-13.227131413444617,669451,-7.8765956202199,669451
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_966,236",2017,2017-05-01,121,,0,-21.337599324771855,576686,-12.993802430855164,576686,-8.34379689391664,576686
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_967,236",2017,2017-05-01,121,,0,-21.59652917027254,368782,-12.568424093971734,368782,-9.028105076300848,368782
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_968,236",2017,2017-05-01,121,,0,-21.01888378978765,124752,-11.984578670888387,124752,-9.034305118899196,124752
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_960,237",2017,2017-05-01,121,,0,-19.35096549687333,576068,-11.217361158426696,576068,-8.133604338446629,576068
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_961,237",2017,2017-05-01,121,,0,-19.83555874685324,565334,-11.693164381011927,565334,-8.142394365841323,565334
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_962,237",2017,2017-05-01,121,,0,-19.43461641500218,574750,-11.764072858559368,574750,-7.670543556442826,574750
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_963,237",2017,2017-05-01,121,,0,-20.326630594781378,641842,-12.81245967348352,641842,-7.514170921297889,641842
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_964,237",2017,2017-05-01,121,,0,-20.811302429702753,815193,-12.812928441821532,815193,-7.998373987881218,815193
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_965,237",2017,2017-05-01,121,,0,-21.88804139304244,845429,-13.47934363680767,845429,-8.408697756234783,845429
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_966,237",2017,2017-05-01,121,,0,-21.83719992363762,714437,-13.497036252189728,714437,-8.340163671447932,714437
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_967,237",2017,2017-05-01,121,,0,-22.154254298555582,574009,-13.548831816242958,574009,-8.605422482312555,574009
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_968,237",2017,2017-05-01,121,,0,-17.170161871422614,420,-10.86691772900965,420,-6.30324414241296,420
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_960,238",2017,2017-05-01,121,,0,-19.49215580167236,597233,-10.94824296532596,597233,-8.543912836346399,597233
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_961,238",2017,2017-05-01,121,,0,-19.53194882326005,777025,-11.195273798821324,777025,-8.336675024438755,777025
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_962,238",2017,2017-05-01,121,,0,-19.256204520461246,695049,-10.908735719330448,695049,-8.34746880113081,695049
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_963,238",2017,2017-05-01,121,,0,-19.51349642057743,656581,-12.003274355635313,656581,-7.5102220649421225,656581
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_964,238",2017,2017-05-01,121,,0,-20.431301659585888,795132,-12.661774006865121,795132,-7.769527652720792,795132
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_965,238",2017,2017-05-01,121,,0,-21.82376418008974,851453,-13.313426814175058,851453,-8.510337365914728,851453
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_966,238",2017,2017-05-01,121,,0,-22.48880998867416,676538,-13.900949134546527,676538,-8.58786085412759,676538
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_967,238",2017,2017-05-01,121,,0,-21.948834741795267,261746,-13.256588366836644,261746,-8.692246374958678,261746
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_960,239",2017,2017-05-01,121,,0,-19.575212786709386,656748,-11.396393448142083,656748,-8.17881933856731,656748
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_961,239",2017,2017-05-01,121,,0,-18.72121030973758,712999,-10.131125596098823,712999,-8.590084713638792,712999
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_962,239",2017,2017-05-01,121,,0,-19.590432784274597,652606,-11.108306944381948,652606,-8.482125839892603,652606
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_963,239",2017,2017-05-01,121,,0,-21.130924763084547,615923,-13.14801523105063,615923,-7.982909532033935,615923
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_964,239",2017,2017-05-01,121,,0,-20.553390595491162,734133,-12.89894868634277,734133,-7.654441909148333,734133
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_965,239",2017,2017-05-01,121,,0,-22.509358193908724,843321,-13.705636294296884,843321,-8.803721899611851,843321
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_966,239",2017,2017-05-01,121,,0,-22.89417878195776,712944,-13.998152284716507,712944,-8.896026497241213,712944
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_967,239",2017,2017-05-01,121,,0,-20.505096327072426,36076,-12.72741338979249,36076,-7.777682937280038,36076
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_960,240",2017,2017-05-01,121,,0,-19.352061858349014,772086,-11.108034636671945,772086,-8.24402722167712,772086
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_961,240",2017,2017-05-01,121,,0,-19.883526016333928,733592,-11.421469693706385,733592,-8.462056322627621,733592
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_962,240",2017,2017-05-01,121,,0,-21.057336082501237,708272,-12.337891780822554,708272,-8.71944430167872,708272
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_963,240",2017,2017-05-01,121,,0,-22.770807966317797,658924,-14.053699000791326,658924,-8.71710896552645,658924
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_964,240",2017,2017-05-01,121,,0,-22.153250600600668,706054,-13.512453587006696,706054,-8.640797013593986,706054
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_965,240",2017,2017-05-01,121,,0,-21.97627768307635,731332,-13.762676454737367,731332,-8.213601228338998,731332
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_966,240",2017,2017-05-01,121,,0,-22.74879557058594,403195,-13.82325653610467,403195,-8.925539034481233,403195
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_960,241",2017,2017-05-01,121,,0,-19.703793844277268,624391,-10.8577909569304,624391,-8.846002887346838,624391
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_961,241",2017,2017-05-01,121,,0,-20.953219624994617,674165,-12.161674034101132,674165,-8.791545590893477,674165
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_962,241",2017,2017-05-01,121,,0,-20.46005860123074,685792,-11.66624512159124,685792,-8.793813479639505,685792
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_963,241",2017,2017-05-01,121,,0,-22.59922771553259,678431,-13.659078308965942,678431,-8.940149406566656,678431
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_964,241",2017,2017-05-01,121,,0,-22.316689218054485,658110,-14.169610977366876,658110,-8.147078240687607,658110
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_965,241",2017,2017-05-01,121,,0,-21.069252687238155,712155,-12.90911210721342,712155,-8.160140580024756,712155
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_0_966,241",2017,2017-05-01,121,,0,-20.99966220877802,352831,-12.983476064008254,352831,-8.016186144769765,352831
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_1_965,235",2017,2017-05-11,131,,0,-19.877436737203727,687311,-12.654076250737852,687311,-7.223360486465894,687311
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_1_966,235",2017,2017-05-11,131,,0,-21.106782226682242,495156,-13.076515755575475,495156,-8.030266471106755,495156
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_1_964,236",2017,2017-05-11,131,,0,-19.870045617863397,756284,-12.327379526197738,756284,-7.542666091665651,756284
Bhadrak,BHA,1,"1_1_1_1_1_1_1_2_1_965,236",2017,2017-05-11,131,,0,-21.204747261653225,669451,-13.403090109060475,669451,-7.801657152592746,669451
