district,district_code,treatment,system:index,year,dekad_start,doy,NDVI_mean,NDVI_count,VH_mean,VH_count,VV_mean,VV_count,CR_mean,CR_count
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_950,232",2017,2017-05-01,121,,0,-20.085915591965517,408733,-12.044693581471149,408733,-8.041222010494302,408733
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_951,232",2017,2017-05-01,121,,0,-19.729063539419343,494719,-12.375464989554517,494719,-7.3535985498648335,494719
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_948,233",2017,2017-05-01,121,,0,-18.52221372633474,33867,-10.72597746136571,33867,-7.796236264969016,33867
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_949,233",2017,2017-05-01,121,,0,-19.177141796880306,25954,-11.860611020294435,25954,-7.316530776585855,25954
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_950,233",2017,2017-05-01,121,,0,-20.02925996979454,119144,-12.79144634831338,119144,-7.2378136214812026,119144
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_951,233",2017,2017-05-01,121,,0,-19.66703187902917,279743,-12.502463612993763,279743,-7.164568266035433,279743
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_952,233",2017,2017-05-01,121,,0,-19.900375092017857,477700,-12.806881182315328,477700,-7.093493909702513,477700
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_953,233",2017,2017-05-01,121,,0,-19.95972754343783,557572,-12.227970971434624,557572,-7.731756572003232,557572
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_947,234",2017,2017-05-01,121,,0,-20.141061149549795,56904,-12.215656665919283,56904,-7.925404483630503,56904
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_948,234",2017,2017-05-01,121,,0,-19.830693162404653,85092,-12.139586060431574,85092,-7.691107101973122,85092
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_949,234",2017,2017-05-01,121,,0,-20.331939785365204,205339,-12.799921648716625,205339,-7.532018136648629,205339
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_950,234",2017,2017-05-01,121,,0,-20.031854915581928,203468,-12.788233275063005,203468,-7.243621640518932,203468
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_951,234",2017,2017-05-01,121,,0,-19.85950068458752,239364,-12.541345550765753,239364,-7.318155133821814,239364
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_952,234",2017,2017-05-01,121,,0,-19.87709235646688,176120,-12.244270646436961,176120,-7.632821710029947,176120
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_953,234",2017,2017-05-01,121,,0,-20.940692592431606,297722,-13.008445045875625,297722,-7.9322475465559705,297722
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_954,234",2017,2017-05-01,121,,0,-21.61206181727615,251744,-13.314380921537825,251744,-8.297680895738294,251744
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_947,235",2017,2017-05-01,121,,0,-20.28436347025033,272094,-12.856502357626137,272094,-7.4278611126241785,272094
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_948,235",2017,2017-05-01,121,,0,-20.7802854909265,308076,-13.121192163029148,308076,-7.659093327897339,308076
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_949,235",2017,2017-05-01,121,,0,-20.506942153817842,234467,-12.657088805929789,234467,-7.849853347888031,234467
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_950,235",2017,2017-05-01,121,,0,-20.391319181301654,126715,-12.544352388390344,126715,-7.846966792911305,126715
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_951,235",2017,2017-05-01,121,,0,-21.262895459039736,267650,-13.090664600992628,267650,-8.172230858047095,267650
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_952,235",2017,2017-05-01,121,,0,-19.90083286801423,429349,-12.1989109473507,429349,-7.7019219206635405,429349
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_953,235",2017,2017-05-01,121,,0,-20.85868654194774,295800,-12.96593163529066,295800,-7.892754906657046,295800
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_954,235",2017,2017-05-01,121,,0,-21.032729829802754,236494,-12.982970498214241,236494,-8.049759331588525,236494
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_955,235",2017,2017-05-01,121,,0,-20.72177837674606,92700,-13.02461224559317,92700,-7.697166131152866,92700
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_956,235",2017,2017-05-01,121,,0,-20.226277971226256,253120,-12.063787337978441,253120,-8.162490633247826,253120
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_957,235",2017,2017-05-01,121,0.16209607104863066,121942,-20.009642974583112,485976,-11.24033137066518,485976,-8.769311603917915,485976
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_948,236",2017,2017-05-01,121,,0,-19.942033403523777,279390,-12.403735033825715,279390,-7.538298369698055,279390
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_949,236",2017,2017-05-01,121,,0,-20.116529157763523,235745,-12.650481012945665,235745,-7.466048144817867,235745
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_950,236",2017,2017-05-01,121,,0,-20.143871476148252,243528,-12.849401060544182,243528,-7.294470415604057,243528
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_951,236",2017,2017-05-01,121,,0,-19.873871403341635,305047,-12.598699440488678,305047,-7.275171962852968,305047
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_952,236",2017,2017-05-01,121,,0,-20.478577113900283,344444,-13.308664840772893,344444,-7.169912273127414,344444
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_953,236",2017,2017-05-01,121,,0,-20.613201131606775,350907,-12.689366748532743,350907,-7.923834383074049,350907
Dhenkanal,DHK,0,"1_1_1_1_1_1_1_2_0_954,236",2017,2017-05-01,121,,0,-21.185101519905267,529540,-13.004877741240694,529540,-8.18022377866459,529540
