district,district_code,treatment,system:index,year,dekad_start,doy,NDVI_mean,NDVI_count,VH_mean,VH_count,VV_mean,VV_count,CR_mean,CR_count
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_947,220",2017,2017-05-01,121,0.2826415065183959,165989,-19.761969534445797,166215,-12.630469050940656,166215,-7.131500483505211,166215
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_948,220",2017,2017-05-01,121,,0,,0,,0,,0
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_947,221",2017,2017-05-01,121,0.3012981628112864,212439,-19.11093704312756,212482,-12.189734102791506,212482,-6.921202940336138,212482
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_948,221",2017,2017-05-01,121,0.24085982963563923,36544,-21.442016326627446,152735,-14.546982593186982,152735,-6.89503373344041,152735
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_949,221",2017,2017-05-01,121,,0,-20.35922210641953,15428,-14.190222927645236,15428,-6.168999178774316,15428
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_947,222",2017,2017-05-01,121,0.24727236535194438,242932,-19.845745646994562,243061,-12.729840621010649,243061,-7.115905025983878,243061
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_948,222",2017,2017-05-01,121,0.21983440643539043,9156,-21.752165703367137,74952,-14.53288073980335,74952,-7.2192849635637515,74952
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_949,222",2017,2017-05-01,121,,0,-21.401627750570405,256720,-14.260749670652805,256720,-7.140878079917636,256720
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_950,222",2017,2017-05-01,121,,0,-21.307988575719044,67308,-14.295086468432855,67308,-7.012902107286257,67308
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_951,222",2017,2017-05-01,121,,0,,0,,0,,0
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_947,223",2017,2017-05-01,121,0.2378995927380727,532676,-19.709220124425116,533078,-12.336170497454948,533078,-7.373049626970157,533078
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_948,223",2017,2017-05-01,121,0.24002488782826845,64864,-19.535950512944076,92915,-12.239822166690933,92915,-7.296128346253155,92915
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_949,223",2017,2017-05-01,121,,0,-22.6347540306266,73316,-14.174992995461539,73316,-8.459761035164988,73316
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_950,223",2017,2017-05-01,121,,0,-21.918549297834392,83972,-14.340802032074633,83972,-7.577747265759728,83972
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_951,223",2017,2017-05-01,121,,0,-21.224462954113203,76429,-13.771793549289495,76429,-7.452669404823676,76429
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_952,223",2017,2017-05-01,121,,0,-22.327764844194018,25462,-14.143032430502407,25462,-8.184732413691648,25462
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_953,223",2017,2017-05-01,121,,0,,0,,0,,0
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_948,224",2017,2017-05-01,121,0.20945548833640404,170206,-19.6292926579957,507188,-12.056263821026578,507188,-7.573028836969176,507188
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_949,224",2017,2017-05-01,121,,0,-19.550343976313545,92263,-12.147229590210195,92263,-7.4031143861033835,92263
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_950,224",2017,2017-05-01,121,,0,,0,,0,,0
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_951,224",2017,2017-05-01,121,,0,-21.41983761448703,2142,-13.695096135782807,2142,-7.724741478704216,2142
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_952,224",2017,2017-05-01,121,,0,-19.543207929506874,130498,-12.920293037411717,130498,-6.622914892095179,130498
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_953,224",2017,2017-05-01,121,,0,-19.461052083238584,164678,-12.784582353648302,164678,-6.676469729590277,164678
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_954,224",2017,2017-05-01,121,,0,-18.42204675463996,91546,-12.035182949895072,91546,-6.386863804744762,91546
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_955,224",2017,2017-05-01,121,,0,-19.824242346004652,1440,-13.055034918555666,1440,-6.769207427449003,1440
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_949,225",2017,2017-05-01,121,,0,-19.606883130575422,494814,-11.9517087353865,494814,-7.6551743951889355,494814
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_950,225",2017,2017-05-01,121,,0,-19.101485255218613,292002,-11.629587381270198,292002,-7.4718978739483655,292002
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_951,225",2017,2017-05-01,121,,0,-17.484282786824462,99789,-9.36003351617073,99789,-8.124249270653758,99789
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_952,225",2017,2017-05-01,121,,0,-18.372567423702076,229664,-12.198609377051751,229664,-6.173958046650364,229664
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_953,225",2017,2017-05-01,121,,0,-18.395153138841867,462982,-11.813640557613203,462982,-6.581512581228643,462982
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_954,225",2017,2017-05-01,121,,0,-18.917989361805105,484374,-12.046642564296965,484374,-6.871346797508117,484374
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_955,225",2017,2017-05-01,121,,0,-19.59788073378092,303672,-12.047591084211433,303672,-7.550289649569418,303672
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_956,225",2017,2017-05-01,121,,0,-20.173809883367287,306953,-12.707304591337069,306953,-7.466505292030239,306953
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_957,225",2017,2017-05-01,121,0.26916274541181007,1727,-20.730246368186172,98482,-13.066529312048983,98482,-7.663717056137273,98482
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_958,225",2017,2017-05-01,121,0.3045603182925705,1966,-19.163304793471312,2263,-13.224964240052978,2263,-5.938340553418337,2263
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_959,225",2017,2017-05-01,121,0.2513867969022078,85,-19.637635706377186,85,-14.127714553525351,85,-5.509921152851837,85
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_951,226",2017,2017-05-01,121,,0,-19.90598289625094,496834,-12.301594513010047,496834,-7.604388383240857,496834
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_952,226",2017,2017-05-01,121,,0,-19.46786364242731,597831,-11.909102035718089,597831,-7.558761606709185,597831
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_953,226",2017,2017-05-01,121,,0,-18.987286243565848,361404,-12.038740067580997,361404,-6.948546175984866,361404
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_954,226",2017,2017-05-01,121,,0,-19.782936070454635,646748,-11.766027280873908,646748,-8.016908789580677,646748
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_955,226",2017,2017-05-01,121,,0,-19.71598923550319,497825,-11.883780361067718,497825,-7.832208874435467,497825
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_956,226",2017,2017-05-01,121,,0,-19.8473978786532,665341,-12.378134801036243,665341,-7.469263077617043,665341
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_957,226",2017,2017-05-01,121,0.2208986156537287,96531,-19.560496382772808,679507,-12.018460130221408,679507,-7.542036252551407,679507
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_958,226",2017,2017-05-01,121,0.21674004127533325,491511,-19.569805832962896,651963,-11.953647037579767,651963,-7.616158795383157,651963
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_959,226",2017,2017-05-01,121,0.2589889114652759,331335,-19.51649308021741,462370,-12.132010057362223,462370,-7.38448302285516,462370
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_960,226",2017,2017-05-01,121,0.26404012536455757,84551,-20.782719523791073,262772,-12.802437264014722,262772,-7.980282259776359,262772
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_961,226",2017,2017-05-01,121,,0,-22.300054693515488,12383,-13.88226528013955,12383,-8.417789413375955,12383
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_952,227",2017,2017-05-01,121,,0,-20.051356717289156,632082,-12.123550236433648,632082,-7.927806480855493,632082
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_953,227",2017,2017-05-01,121,,0,-19.119663939561285,649299,-11.791209214564693,649299,-7.328454724996567,649299
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_954,227",2017,2017-05-01,121,,0,-18.827710962344057,733507,-11.575070430192138,733507,-7.252640532151947,733507
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_955,227",2017,2017-05-01,121,,0,-18.676927492646705,602739,-11.409524658455494,602739,-7.267402834191243,602739
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_956,227",2017,2017-05-01,121,,0,-19.14390777054099,700833,-11.709284154555764,700833,-7.434623615985204,700833
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_957,227",2017,2017-05-01,121,0.31747265432573146,115570,-19.04321700049002,732916,-11.769142313077596,732916,-7.274074687412438,732916
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_958,227",2017,2017-05-01,121,0.3157591183232534,583027,-18.701408712800518,670214,-11.890646410108264,670214,-6.810762302692252,670214
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_959,227",2017,2017-05-01,121,0.26800467322799515,431950,-19.25895433736734,510204,-11.782451587782766,510204,-7.476502749584583,510204
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_960,227",2017,2017-05-01,121,0.22302123130323567,179517,-19.552870843145207,432279,-12.214330095288183,432279,-7.338540747856985,432279
Puri,PUR,1,"1_1_1_1_1_1_1_2_0_961,227",2017,2017-05-01,121,,0,-21.616308645286868,447583,-13.22350819530366,447583,-8.392800449983195,447583
