metric,event_k,beta,se,ci_lo_95,ci_hi_95,n_obs,n_treat_cells_at_k
SOS,0,0.0,0.0,0.0,0.0,1223,81
SOS,1,19.246,8.647,2.298,36.194,1223,111
SOS,2,6.751,7.697,-8.336,21.838,1223,83
SOS,3,20.482,13.05,-5.095,46.06,1223,105
SOS,4,14.078,4.271,5.706,22.45,1223,149
SOS,5,-13.88,11.851,-37.108,9.348,1223,68
POS,0,0.0,0.0,0.0,0.0,1223,81
POS,1,-2.582,4.412,-11.229,6.064,1223,111
POS,2,1.256,3.177,-4.971,7.482,1223,83
POS,3,2.906,5.045,-6.981,12.794,1223,105
POS,4,3.071,3.569,-3.925,10.067,1223,149
POS,5,-0.173,3.855,-7.729,7.384,1223,68
EOS,0,0.0,0.0,0.0,0.0,1223,81
EOS,1,2.51,4.858,-7.011,12.032,1223,111
EOS,2,-1.357,6.384,-13.869,11.155,1223,83
EOS,3,3.514,4.948,-6.183,13.212,1223,105
EOS,4,-6.093,4.508,-14.928,2.743,1223,149
EOS,5,15.505,8.528,-1.21,32.22,1223,68
