metric,event_k,beta,se,ci_lo_95,ci_hi_95,n_obs,n_treat_at_k
SOS,0,0.0,0.0,0.0,0.0,48,5
SOS,1,19.7,12.575,-4.947,44.347,48,5
SOS,2,-0.567,11.538,-23.182,22.048,48,5
SOS,3,16.267,16.192,-15.469,48.003,48,5
SOS,4,1.6,14.96,-27.722,30.922,48,5
SOS,5,-21.4,18.792,-58.233,15.433,48,5
POS,0,0.0,0.0,0.0,0.0,48,5
POS,1,-4.3,7.207,-18.425,9.825,48,5
POS,2,-0.667,9.28,-18.855,17.522,48,5
POS,3,-1.2,8.185,-17.243,14.843,48,5
POS,4,5.167,8.193,-10.891,21.224,48,5
POS,5,-1.967,6.738,-15.174,11.241,48,5
EOS,0,0.0,0.0,0.0,0.0,48,5
EOS,1,3.4,7.041,-10.401,17.201,48,5
EOS,2,8.667,8.184,-7.374,24.707,48,5
EOS,3,9.267,7.338,-5.116,23.649,48,5
EOS,4,-1.7,7.058,-15.535,12.135,48,5
EOS,5,16.833,13.04,-8.725,42.392,48,5
