metric,value,pre_reg_threshold,passes
overall_accuracy_test,0.5968,0.88,FALSE
kappa_test,0.2939,,FALSE
f1_saline_test,0.3134,0.85,FALSE
ua_neither_test,0.6218,,
ua_agro_test,0.5759,,
ua_saline_test,0.4667,,
pa_neither_test,0.7903,,
pa_agro_test,0.4762,,
pa_saline_test,0.2360,,
mean_cv_oa,0.5162,0.88,FALSE
mean_cv_kappa,0.1757,,
n_train,1570,,
n_test,630,,
n_class_0,1100,,
n_class_1,800,,
n_class_2,300,,
imp_NDWI_kharif_max,249.48,,
imp_VV_kharif_min,232.09,,
imp_LSWI_kharif_max,225.89,,
imp_VH_VV_ratio,221.89,,
imp_VH_kharif_min,217.69,,
imp_ERA5_landfall_wind,175.60,,
imp_JRC_permanence,105.46,,
imp_days_since_landfall,15.05,,
