sid,season,name,iso_time,doy,lat,lon,dist2land_km,wind_kt_at_landfall,vmax_kt_lifetime
1982150N13087,1982,UNNAMED,1982-06-03 15:00:00,154,20.4,86.6,0.0,,90.0
1987150N13095,1987,UNNAMED,1987-06-04 15:00:00,155,22.4,90.7,0.0,,55.0
1989143N17090,1989,UNNAMED,1989-05-26 15:00:00,146,21.7,87.2,0.0,53.0,115.0
1989163N20088,1989,UNNAMED,1989-06-13 15:00:00,164,21.8,87.6,0.0,nan,30.0
1990164N21089,1990,UNNAMED,1990-06-14 03:00:00,165,21.8,87.5,0.0,,33.0
1991113N10091,1991,UNNAMED,1991-04-29 21:00:00,119,22.7,92.1,0.0,123.0,140.0
1991150N14091,1991,UNNAMED,1991-06-02 00:00:00,153,22.3,91.0,20.0,45.0,50.0
1994117N07096,1994,UNNAMED,1994-05-02 15:00:00,122,21.2,92.3,0.0,95.0,125.0
1995128N15082,1995,UNNAMED,1995-05-10 09:00:00,130,19.0,83.5,0.0,nan,30.0
1995135N20087,1995,UNNAMED,1995-05-15 21:00:00,135,21.8,88.3,0.0,,30.0
1996122N08092,1996,UNNAMED,1996-05-08 00:00:00,129,21.3,92.2,0.0,30.0,40.0
1997133N03092,1997,UNNAMED,1997-05-19 15:00:00,139,22.6,91.8,0.0,103.0,115.0
1998133N04086,1998,UNNAMED,1998-05-20 03:00:00,140,22.1,92.1,0.0,65.0,70.0
1998165N18088,1998,UNNAMED,1998-06-14 12:00:00,165,17.5,83.0,0.0,30.0,30.0
1999159N18091,1999,UNNAMED,1999-06-10 18:00:00,161,22.1,87.2,0.0,,35.0
2001163N20087,2001,UNNAMED,2001-06-12 15:00:00,163,20.2,86.3,0.0,,25.0
2004163N15090,2004,UNNAMED,2004-06-13 09:00:00,165,20.0,85.5,0.0,,30.0
2007133N15091,2007,AKASH,2007-05-14 18:00:00,134,21.2,92.1,0.0,65.0,65.0
2009104N13088,2009,BIJLI,2009-04-17 21:00:00,107,22.1,92.4,0.0,,50.0
2009143N17089,2009,AILA,2009-05-25 06:00:00,145,21.6,88.2,0.0,55.0,65.0
2013130N04093,2013,MAHASEN:VIYARU,2013-05-16 06:00:00,136,22.5,91.0,10.0,45.0,45.0
2013149N21090,2013,UNNAMED,2013-05-29 12:00:00,149,21.7,88.8,0.0,,25.0
2016138N10081,2016,ROANU,2016-05-21 12:00:00,142,23.0,92.0,0.0,,60.0
2017147N14087,2017,MORA,2017-05-30 03:00:00,150,21.9,92.0,0.0,60.0,80.0
2017163N20090,2017,UNNAMED,2017-06-11 21:00:00,162,22.0,90.3,0.0,nan,30.0
2018161N22092,2018,UNNAMED,2018-06-10 15:00:00,161,22.9,91.4,0.0,,25.0
