district_id,district_name,year,treatment,event,metric,value_days,n_pixels,qa_flag
ANG,Angul,2017,0,none,SOS,288,10605746,OK
ANG,Angul,2017,0,none,POS,288,10605746,OK
ANG,Angul,2017,0,none,EOS,,10605746,OK
ANG,Angul,2018,0,none,SOS,258,30770,OK
ANG,Angul,2018,0,none,POS,258,30770,OK
ANG,Angul,2018,0,none,EOS,349,30770,OK
ANG,Angul,2019,0,none,SOS,196,13458229,OK
ANG,Angul,2019,0,none,POS,288,13458229,OK
ANG,Angul,2019,0,none,EOS,,13458229,OK
ANG,Angul,2020,0,none,SOS,167,13450715,OK
ANG,Angul,2020,0,none,POS,289,13450715,OK
ANG,Angul,2020,0,none,EOS,350,13450715,OK
ANG,Angul,2021,0,none,SOS,166,13430526,OK
ANG,Angul,2021,0,none,POS,288,13430526,OK
ANG,Angul,2021,0,none,EOS,349,13430526,OK
ANG,Angul,2022,0,none,SOS,166,13424451,OK
ANG,Angul,2022,0,none,POS,288,13424451,OK
ANG,Angul,2022,0,none,EOS,349,13424451,OK
ANG,Angul,2023,0,none,SOS,196,13488193,OK
ANG,Angul,2023,0,none,POS,288,13488193,OK
ANG,Angul,2023,0,none,EOS,349,13488193,OK
ANG,Angul,2024,0,none,SOS,197,13198873,OK
ANG,Angul,2024,0,none,POS,289,13198873,OK
ANG,Angul,2024,0,none,EOS,350,13198873,OK
BLS,Baleshwar,2017,1,none,SOS,288,6830172,OK
BLS,Baleshwar,2017,1,none,POS,288,6830172,OK
BLS,Baleshwar,2017,1,none,EOS,349,6830172,OK
BLS,Baleshwar,2018,1,none,SOS,135,23813225,OK
BLS,Baleshwar,2018,1,none,POS,288,23813225,OK
BLS,Baleshwar,2018,1,none,EOS,349,23813225,OK
BLS,Baleshwar,2019,1,Fani,SOS,227,23320838,OK
BLS,Baleshwar,2019,1,Fani,POS,288,23320838,OK
BLS,Baleshwar,2019,1,Fani,EOS,349,23320838,OK
BLS,Baleshwar,2020,1,Amphan,SOS,167,23838537,OK
BLS,Baleshwar,2020,1,Amphan,POS,289,23838537,OK
BLS,Baleshwar,2020,1,Amphan,EOS,350,23838537,OK
BLS,Baleshwar,2021,1,Yaas,SOS,166,23045480,OK
BLS,Baleshwar,2021,1,Yaas,POS,288,23045480,OK
BLS,Baleshwar,2021,1,Yaas,EOS,349,23045480,OK
BLS,Baleshwar,2022,1,none,SOS,258,23928067,OK
BLS,Baleshwar,2022,1,none,POS,288,23928067,OK
BLS,Baleshwar,2022,1,none,EOS,349,23928067,OK
BLS,Baleshwar,2023,1,none,SOS,196,23940178,OK
BLS,Baleshwar,2023,1,none,POS,288,23940178,OK
BLS,Baleshwar,2023,1,none,EOS,349,23940178,OK
BLS,Baleshwar,2024,1,none,SOS,167,23828402,OK
BLS,Baleshwar,2024,1,none,POS,289,23828402,OK
BLS,Baleshwar,2024,1,none,EOS,350,23828402,OK
BHA,Bhadrak,2017,1,none,SOS,319,19355601,OK
BHA,Bhadrak,2017,1,none,POS,319,19355601,OK
BHA,Bhadrak,2017,1,none,EOS,349,19355601,OK
BHA,Bhadrak,2018,1,none,SOS,135,19331033,OK
BHA,Bhadrak,2018,1,none,POS,288,19331033,OK
BHA,Bhadrak,2018,1,none,EOS,349,19331033,OK
BHA,Bhadrak,2019,1,Fani,SOS,258,19202230,OK
BHA,Bhadrak,2019,1,Fani,POS,288,19202230,OK
BHA,Bhadrak,2019,1,Fani,EOS,349,19202230,OK
BHA,Bhadrak,2020,1,Amphan,SOS,259,19355962,OK
BHA,Bhadrak,2020,1,Amphan,POS,289,19355962,OK
BHA,Bhadrak,2020,1,Amphan,EOS,350,19355962,OK
BHA,Bhadrak,2021,1,Yaas,SOS,196,18898032,OK
BHA,Bhadrak,2021,1,Yaas,POS,288,18898032,OK
BHA,Bhadrak,2021,1,Yaas,EOS,349,18898032,OK
BHA,Bhadrak,2022,1,none,SOS,258,19500602,OK
BHA,Bhadrak,2022,1,none,POS,288,19500602,OK
BHA,Bhadrak,2022,1,none,EOS,349,19500602,OK
BHA,Bhadrak,2023,1,none,SOS,258,19512985,OK
BHA,Bhadrak,2023,1,none,POS,288,19512985,OK
BHA,Bhadrak,2023,1,none,EOS,349,19512985,OK
BHA,Bhadrak,2024,1,none,SOS,197,18596313,OK
BHA,Bhadrak,2024,1,none,POS,289,18596313,OK
BHA,Bhadrak,2024,1,none,EOS,350,18596313,OK
CTK,Cuttack,2017,0,none,SOS,288,4228414,OK
CTK,Cuttack,2017,0,none,POS,288,4228414,OK
CTK,Cuttack,2017,0,none,EOS,,4228414,OK
CTK,Cuttack,2018,0,none,SOS,288,6427424,OK
CTK,Cuttack,2018,0,none,POS,288,6427424,OK
CTK,Cuttack,2018,0,none,EOS,349,6427424,OK
CTK,Cuttack,2019,0,none,SOS,196,17900834,OK
CTK,Cuttack,2019,0,none,POS,288,17900834,OK
CTK,Cuttack,2019,0,none,EOS,349,17900834,OK
CTK,Cuttack,2020,0,none,SOS,136,17866548,OK
CTK,Cuttack,2020,0,none,POS,289,17866548,OK
CTK,Cuttack,2020,0,none,EOS,350,17866548,OK
CTK,Cuttack,2021,0,none,SOS,166,17874406,OK
CTK,Cuttack,2021,0,none,POS,288,17874406,OK
CTK,Cuttack,2021,0,none,EOS,,17874406,OK
CTK,Cuttack,2022,0,none,SOS,196,17920054,OK
CTK,Cuttack,2022,0,none,POS,288,17920054,OK
CTK,Cuttack,2022,0,none,EOS,,17920054,OK
CTK,Cuttack,2023,0,none,SOS,196,18142041,OK
CTK,Cuttack,2023,0,none,POS,288,18142041,OK
CTK,Cuttack,2023,0,none,EOS,,18142041,OK
CTK,Cuttack,2024,0,none,SOS,197,17506468,OK
CTK,Cuttack,2024,0,none,POS,289,17506468,OK
CTK,Cuttack,2024,0,none,EOS,,17506468,OK
DHK,Dhenkanal,2017,0,none,SOS,288,121415,OK
DHK,Dhenkanal,2017,0,none,POS,288,121415,OK
DHK,Dhenkanal,2017,0,none,EOS,,121415,OK
DHK,Dhenkanal,2018,0,none,SOS,288,11209440,OK
DHK,Dhenkanal,2018,0,none,POS,288,11209440,OK
DHK,Dhenkanal,2018,0,none,EOS,349,11209440,OK
DHK,Dhenkanal,2019,0,none,SOS,196,14384573,OK
DHK,Dhenkanal,2019,0,none,POS,288,14384573,OK
DHK,Dhenkanal,2019,0,none,EOS,349,14384573,OK
DHK,Dhenkanal,2020,0,none,SOS,136,14359852,OK
DHK,Dhenkanal,2020,0,none,POS,289,14359852,OK
DHK,Dhenkanal,2020,0,none,EOS,350,14359852,OK
DHK,Dhenkanal,2021,0,none,SOS,166,14277067,OK
DHK,Dhenkanal,2021,0,none,POS,288,14277067,OK
DHK,Dhenkanal,2021,0,none,EOS,349,14277067,OK
DHK,Dhenkanal,2022,0,none,SOS,166,14357347,OK
DHK,Dhenkanal,2022,0,none,POS,288,14357347,OK
DHK,Dhenkanal,2022,0,none,EOS,349,14357347,OK
DHK,Dhenkanal,2023,0,none,SOS,196,5993858,OK
DHK,Dhenkanal,2023,0,none,POS,258,5993858,OK
DHK,Dhenkanal,2023,0,none,EOS,349,5993858,OK
DHK,Dhenkanal,2024,0,none,SOS,197,13618119,OK
DHK,Dhenkanal,2024,0,none,POS,289,13618119,OK
DHK,Dhenkanal,2024,0,none,EOS,350,13618119,OK
JGS,Jagatsinghpur,2017,1,none,SOS,288,1013506,OK
JGS,Jagatsinghpur,2017,1,none,POS,288,1013506,OK
JGS,Jagatsinghpur,2017,1,none,EOS,,1013506,OK
JGS,Jagatsinghpur,2018,1,none,SOS,288,11045337,OK
JGS,Jagatsinghpur,2018,1,none,POS,288,11045337,OK
JGS,Jagatsinghpur,2018,1,none,EOS,349,11045337,OK
JGS,Jagatsinghpur,2019,1,Fani,SOS,227,11340083,OK
JGS,Jagatsinghpur,2019,1,Fani,POS,319,11340083,OK
JGS,Jagatsinghpur,2019,1,Fani,EOS,,11340083,OK
JGS,Jagatsinghpur,2020,1,Amphan,SOS,167,10848508,OK
JGS,Jagatsinghpur,2020,1,Amphan,POS,289,10848508,OK
JGS,Jagatsinghpur,2020,1,Amphan,EOS,,10848508,OK
JGS,Jagatsinghpur,2021,1,Yaas,SOS,166,10735035,OK
JGS,Jagatsinghpur,2021,1,Yaas,POS,288,10735035,OK
JGS,Jagatsinghpur,2021,1,Yaas,EOS,,10735035,OK
JGS,Jagatsinghpur,2022,1,none,SOS,258,11412558,OK
JGS,Jagatsinghpur,2022,1,none,POS,288,11412558,OK
JGS,Jagatsinghpur,2022,1,none,EOS,,11412558,OK
JGS,Jagatsinghpur,2023,1,none,SOS,196,11502689,OK
JGS,Jagatsinghpur,2023,1,none,POS,288,11502689,OK
JGS,Jagatsinghpur,2023,1,none,EOS,,11502689,OK
JGS,Jagatsinghpur,2024,1,none,SOS,167,11492598,OK
JGS,Jagatsinghpur,2024,1,none,POS,320,11492598,OK
JGS,Jagatsinghpur,2024,1,none,EOS,,11492598,OK
KDP,Kendrapara,2017,1,none,SOS,319,17241453,OK
KDP,Kendrapara,2017,1,none,POS,319,17241453,OK
KDP,Kendrapara,2017,1,none,EOS,,17241453,OK
KDP,Kendrapara,2018,1,none,SOS,288,16806975,OK
KDP,Kendrapara,2018,1,none,POS,288,16806975,OK
KDP,Kendrapara,2018,1,none,EOS,349,16806975,OK
KDP,Kendrapara,2019,1,Fani,SOS,196,17354265,OK
KDP,Kendrapara,2019,1,Fani,POS,319,17354265,OK
KDP,Kendrapara,2019,1,Fani,EOS,349,17354265,OK
KDP,Kendrapara,2020,1,Amphan,SOS,167,16851732,OK
KDP,Kendrapara,2020,1,Amphan,POS,289,16851732,OK
KDP,Kendrapara,2020,1,Amphan,EOS,350,16851732,OK
KDP,Kendrapara,2021,1,Yaas,SOS,166,16800623,OK
KDP,Kendrapara,2021,1,Yaas,POS,288,16800623,OK
KDP,Kendrapara,2021,1,Yaas,EOS,,16800623,OK
KDP,Kendrapara,2022,1,none,SOS,258,17387572,OK
KDP,Kendrapara,2022,1,none,POS,288,17387572,OK
KDP,Kendrapara,2022,1,none,EOS,,17387572,OK
KDP,Kendrapara,2023,1,none,SOS,196,17390487,OK
KDP,Kendrapara,2023,1,none,POS,288,17390487,OK
KDP,Kendrapara,2023,1,none,EOS,,17390487,OK
KDP,Kendrapara,2024,1,none,SOS,167,16706558,OK
KDP,Kendrapara,2024,1,none,POS,289,16706558,OK
KDP,Kendrapara,2024,1,none,EOS,,16706558,OK
PUR,Puri,2017,1,none,SOS,288,3553935,OK
PUR,Puri,2017,1,none,POS,288,3553935,OK
PUR,Puri,2017,1,none,EOS,349,3553935,OK
PUR,Puri,2018,1,none,SOS,288,5632721,OK
PUR,Puri,2018,1,none,POS,288,5632721,OK
PUR,Puri,2018,1,none,EOS,349,5632721,OK
PUR,Puri,2019,1,Fani,SOS,196,13868787,OK
PUR,Puri,2019,1,Fani,POS,288,13868787,OK
PUR,Puri,2019,1,Fani,EOS,349,13868787,OK
PUR,Puri,2020,1,Amphan,SOS,197,14196133,OK
PUR,Puri,2020,1,Amphan,POS,289,14196133,OK
PUR,Puri,2020,1,Amphan,EOS,350,14196133,OK
PUR,Puri,2021,1,Yaas,SOS,166,14560993,OK
PUR,Puri,2021,1,Yaas,POS,288,14560993,OK
PUR,Puri,2021,1,Yaas,EOS,349,14560993,OK
PUR,Puri,2022,1,none,SOS,258,15123273,OK
PUR,Puri,2022,1,none,POS,288,15123273,OK
PUR,Puri,2022,1,none,EOS,349,15123273,OK
PUR,Puri,2023,1,none,SOS,258,15301008,OK
PUR,Puri,2023,1,none,POS,288,15301008,OK
PUR,Puri,2023,1,none,EOS,349,15301008,OK
PUR,Puri,2024,1,none,SOS,197,13931775,OK
PUR,Puri,2024,1,none,POS,289,13931775,OK
PUR,Puri,2024,1,none,EOS,350,13931775,OK
