district,year,cyclone,district_area_km2,flood_area_km2,flood_share,source
Angul,2019,Fani,6376.73,0.0,0.0,EMSR357_real
Baleshwar,2019,Fani,3702.22,0.0,0.0,EMSR357_real
Bhadrak,2019,Fani,2450.69,2.4298,0.000991,EMSR357_real
Cuttack,2019,Fani,3943.39,51.7072,0.013112,EMSR357_real
Dhenkanal,2019,Fani,4479.37,0.0,0.0,EMSR357_real
Jagatsinghpur,2019,Fani,1668.9,4.86,0.002912,EMSR357_real
Kendrapara,2019,Fani,2479.77,13.2727,0.005352,EMSR357_real
Puri,2019,Fani,3500.98,88.1824,0.025188,EMSR357_real
Angul,2020,Amphan,6376.73,0.0,0.0,provisional_label_density × Module08 polygon-area
Baleshwar,2020,Amphan,3702.22,6.1875,0.001671,provisional_label_density × Module08 polygon-area
Bhadrak,2020,Amphan,2450.69,11.25,0.004591,provisional_label_density × Module08 polygon-area
Cuttack,2020,Amphan,3943.39,0.0,0.0,provisional_label_density × Module08 polygon-area
Dhenkanal,2020,Amphan,4479.37,0.0,0.0,provisional_label_density × Module08 polygon-area
Jagatsinghpur,2020,Amphan,1668.9,15.75,0.009437,provisional_label_density × Module08 polygon-area
Kendrapara,2020,Amphan,2479.77,11.8125,0.004764,provisional_label_density × Module08 polygon-area
Puri,2020,Amphan,3500.98,0.0,0.0,provisional_label_density × Module08 polygon-area
Angul,2021,Yaas,6376.73,0.0,0.0,provisional_label_density × Module08 polygon-area
Baleshwar,2021,Yaas,3702.22,8.25,0.002228,provisional_label_density × Module08 polygon-area
Bhadrak,2021,Yaas,2450.69,55.0,0.022443,provisional_label_density × Module08 polygon-area
Cuttack,2021,Yaas,3943.39,2.75,0.000697,provisional_label_density × Module08 polygon-area
Dhenkanal,2021,Yaas,4479.37,0.0,0.0,provisional_label_density × Module08 polygon-area
Jagatsinghpur,2021,Yaas,1668.9,13.75,0.008239,provisional_label_density × Module08 polygon-area
Kendrapara,2021,Yaas,2479.77,26.125,0.010535,provisional_label_density × Module08 polygon-area
Puri,2021,Yaas,3500.98,4.125,0.001178,provisional_label_density × Module08 polygon-area
