pipeline,metric,dropped_district,exposure,tau_loo,se_loo,p_loo,ci_lo,ci_hi,delta_pct,note
raw,SOS,Angul,inland_control,21.733,16.548,0.1891,-10.701,54.167,42.2,ok
raw,SOS,Baleshwar,coastal_treatment,10.256,20.342,0.6141,-29.613,50.124,-32.9,ok
raw,SOS,Bhadrak,coastal_treatment,3.656,14.092,0.7953,-23.964,31.275,-76.1,ok
raw,SOS,Cuttack,inland_control,10.567,17.86,0.5541,-24.439,45.572,-30.9,ok
raw,SOS,Dhenkanal,inland_control,13.567,19.089,0.4773,-23.846,50.98,-11.3,ok
raw,SOS,Jagatsinghpur,coastal_treatment,17.906,21.212,0.3986,-23.669,59.48,17.1,ok
raw,SOS,Kendrapara,coastal_treatment,22.039,19.344,0.2546,-15.875,59.953,44.1,ok
raw,SOS,Puri,coastal_treatment,22.589,18.95,0.2332,-14.552,59.729,47.7,ok
raw,POS,Angul,inland_control,-2.587,3.396,0.4463,-9.243,4.07,27.9,ok
raw,POS,Baleshwar,coastal_treatment,-3.483,3.342,0.2973,-10.034,3.068,2.9,ok
raw,POS,Bhadrak,coastal_treatment,-1.933,2.418,0.4239,-6.672,2.805,46.1,ok
raw,POS,Cuttack,inland_control,-5.587,2.119,0.0084,-9.741,-1.433,-55.8,ok
raw,POS,Dhenkanal,inland_control,-2.587,3.396,0.4463,-9.243,4.07,27.9,ok
raw,POS,Jagatsinghpur,coastal_treatment,-4.517,3.082,0.1428,-10.558,1.524,-25.9,ok
raw,POS,Kendrapara,coastal_treatment,-4.517,3.082,0.1428,-10.558,1.524,-25.9,ok
raw,POS,Puri,coastal_treatment,-3.483,3.342,0.2973,-10.034,3.068,2.9,ok
raw,EOS,Angul,inland_control,-0.0,0.0,0.1978,-0.0,0.0,,ok
raw,EOS,Baleshwar,coastal_treatment,-0.0,0.0,0.1484,-0.0,0.0,,ok
raw,EOS,Bhadrak,coastal_treatment,-0.0,0.0,0.1484,-0.0,0.0,,ok
raw,EOS,Cuttack,inland_control,0.0,0.0,0.0691,-0.0,0.0,,ok
raw,EOS,Dhenkanal,inland_control,-0.0,0.0,0.8223,-0.0,0.0,,ok
raw,EOS,Jagatsinghpur,coastal_treatment,0.0,0.0,0.1411,-0.0,0.0,,ok
raw,EOS,Kendrapara,coastal_treatment,-0.0,0.0,0.3956,-0.0,0.0,,ok
raw,EOS,Puri,coastal_treatment,0.0,0.0,1.0,-0.0,0.0,,ok
corrected,SOS,Angul,inland_control,21.563,16.529,0.1921,-10.834,53.959,42.7,ok
corrected,SOS,Baleshwar,coastal_treatment,10.035,20.297,0.621,-29.747,49.816,-33.6,ok
corrected,SOS,Bhadrak,coastal_treatment,3.518,14.126,0.8033,-24.168,31.204,-76.7,ok
corrected,SOS,Cuttack,inland_control,10.366,17.839,0.5612,-24.597,45.329,-31.4,ok
corrected,SOS,Dhenkanal,inland_control,13.396,19.082,0.4827,-24.004,50.796,-11.3,ok
corrected,SOS,Jagatsinghpur,coastal_treatment,17.739,21.185,0.4024,-23.782,59.26,17.4,ok
corrected,SOS,Kendrapara,coastal_treatment,21.857,19.319,0.2579,-16.007,59.722,44.7,ok
corrected,SOS,Puri,coastal_treatment,22.392,18.935,0.237,-14.72,59.504,48.2,ok
corrected,POS,Angul,inland_control,-2.672,3.414,0.4339,-9.363,4.02,27.3,ok
corrected,POS,Baleshwar,coastal_treatment,-3.593,3.362,0.2851,-10.182,2.996,2.3,ok
corrected,POS,Bhadrak,coastal_treatment,-2.002,2.415,0.407,-6.736,2.731,45.5,ok
corrected,POS,Cuttack,inland_control,-5.687,2.132,0.0076,-9.865,-1.509,-54.7,ok
corrected,POS,Dhenkanal,inland_control,-2.672,3.414,0.4339,-9.363,4.02,27.3,ok
corrected,POS,Jagatsinghpur,coastal_treatment,-4.6,3.106,0.1386,-10.688,1.488,-25.1,ok
corrected,POS,Kendrapara,coastal_treatment,-4.607,3.102,0.1375,-10.687,1.473,-25.3,ok
corrected,POS,Puri,coastal_treatment,-3.581,3.361,0.2867,-10.168,3.007,2.6,ok
corrected,EOS,Angul,inland_control,-0.205,0.157,0.1908,-0.511,0.102,14.2,ok
corrected,EOS,Baleshwar,coastal_treatment,-0.326,0.196,0.0965,-0.711,0.058,-36.7,ok
corrected,EOS,Bhadrak,coastal_treatment,-0.095,0.059,0.1088,-0.211,0.021,60.2,ok
corrected,EOS,Cuttack,inland_control,-0.288,0.191,0.1312,-0.662,0.086,-20.7,ok
corrected,EOS,Dhenkanal,inland_control,-0.215,0.219,0.325,-0.644,0.214,9.7,ok
corrected,EOS,Jagatsinghpur,coastal_treatment,-0.239,0.169,0.1576,-0.57,0.092,0.0,ok
corrected,EOS,Kendrapara,coastal_treatment,-0.244,0.178,0.1708,-0.594,0.105,-2.3,ok
corrected,EOS,Puri,coastal_treatment,-0.279,0.242,0.249,-0.754,0.196,-17.0,ok
